Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak
12/31/2017,71161,30511,GA,,Banks,Baldwin,12161,123700,-0.0104,-0.016693164,0.000809061,0.094659356,-0.00526085,2008-02,2008-Q1,133300,-0.072018005
12/31/2017,98143,95365,CA,Merced,Merced,Planada,12162,139700,0.022693997,0.055933485,0.093114241,0.151848701,-0.025782532,2006-08,2006-Q3,226800,-0.38403880100000004
12/31/2017,60978,8089,NJ,Philadelphia,Camden,Chesilhurst,12163,175100,-0.0051136359999999995,0.018023256,0.058645707000000005,0.020120267,-0.017165162,2006-06,2006-Q2,216800,-0.192343173
12/31/2017,98347,95655,CA,Sacramento,Sacramento,Mather Air Force Base,12164,394700,0.0015224560000000002,0.00714468,0.110579629,0.101150512,0.006265864,2005-11,2005-Q4,451500,-0.125802879
12/31/2017,69963,28453,NC,,Duplin,Magnolia,12165,80000,-0.011124845,-0.0012484389999999998,0.037613489,0.019601986999999998,0.00461501,2017-03,2017-Q1,81200,-0.014778325
12/31/2017,79656,49274,MI,Hillsdale,Hillsdale,Reading,12166,112000,0.009918846,0.01910828,-0.012345678999999998,0.048226055,0.015112321000000001,2017-01,2017-Q1,115200,-0.027777778
12/31/2017,81807,54634,WI,,Vernon,Hillsboro,12167,123800,0.00242915,0.008143322,0.05451448,0.020783153999999998,-0.007663596,2007-12,2007-Q4,133700,-0.074046372
12/31/2017,79638,49254,MI,Jackson,Jackson,Michigan Center,12168,102600,0.022931206000000003,0.039513677999999997,0.09265175699999999,0.07701765,0.00307274,2004-08,2004-Q3,118900,-0.137089992
12/31/2017,94336,83837,ID,,Shoshone,Kellogg,12169,78000,-0.020100503,-0.032258065,-0.078014184,-0.012349468,,2011-01,2011-Q1,122900,-0.365337673
12/31/2017,90571,74872,OK,,Garvin,Stratford,12170,105200,0.017408124,0.045725645999999995,0.036453202000000004,0.065788086,0.06375905,2016-10,2016-Q4,109100,-0.035747021000000004
12/31/2017,63698,14738,NY,Jamestown,Chautauqua,Carroll,12171,97500,-0.002047083,0.002055498,0.078539823,0.042715012999999996,0.023619926,2017-06,2017-Q2,98800,-0.013157895
12/31/2017,67771,23603,VA,Virginia Beach,Newport News City,Newport News,12172,154800,0.002590674,-0.0006455780000000001,0.01641497,0.006453848000000001,-0.027411777000000002,2007-12,2007-Q4,204400,-0.242661448
12/31/2017,64833,16950,PA,,Tioga,Westfield Township,12173,88300,0.001133787,0.020809249,0.09962640099999999,0.016656008,0.020475409,2014-07,2014-Q3,92200,-0.04229934900000001
12/31/2017,82402,55721,MN,,Itasca,Cohasset,12174,178300,-0.061084781,-0.089841756,-0.08281893,-0.00777921,-0.023600627000000002,2007-08,2007-Q3,235400,-0.242565845
12/31/2017,90900,75432,TX,,Delta,Cooper,12175,68900,-0.005772006,-0.015714286,0.047112462,0.027023502,-0.01556189,2006-01,2006-Q1,82300,-0.162818955
12/31/2017,73613,35776,AL,Scottsboro,Jackson,Woodville,12176,106200,0.0037807179999999998,0.004730369,0.052527255,,,2017-12,2017-Q4,106200,0.0
12/31/2017,67105,21915,MD,Philadelphia,Cecil,Chesapeake City,12177,229000,0.006593407,0.008366358,0.008366358,0.022988892,-0.020045871,2008-02,2008-Q1,282600,-0.18966737399999997
12/31/2017,97411,93675,CA,Fresno,Fresno,Squaw Valley,12178,256700,-0.001555815,0.013022889,0.103137086,0.093080114,-0.011918577,2006-07,2006-Q3,313400,-0.18091895300000002
12/31/2017,65396,18237,PA,Pottsville,Schuylkill,McAdoo,12179,62400,0.006451613,0.008077544,-0.012658228,0.048682202,-0.0033045229999999997,2007-06,2007-Q2,67800,-0.079646018
12/31/2017,100054,99009,WA,Spokane,Spokane,Elk,12180,246400,0.00407498,0.014409222,0.067590988,0.074040575,0.013395697,2017-12,2017-Q4,246400,0.0
